Date,Local Start Time,Away Team,Home Team,Venue
2025-04-01,06:40 PM CDT,Minnesota Twins,Chicago White Sox,Rate Field
2025-04-01,06:40 PM CDT,Kansas City Royals,Milwaukee Brewers,American Family Field
2025-04-01,06:45 PM CDT,Los Angeles Angels,St. Louis Cardinals,Busch Stadium
2025-04-01,07:10 PM CDT,San Francisco Giants,Houston Astros,Daikin Park
2025-04-01,06:40 PM PDT,Cleveland Guardians,San Diego Padres,Petco Park
2025-04-01,06:40 PM PDT,Detroit Tigers,Seattle Mariners,T-Mobile Park
2025-04-01,07:05 PM PDT,Chicago Cubs,Athletics,Sutter Health Park
2025-04-01,07:10 PM PDT,Atlanta Braves,Los Angeles Dodgers,Dodger Stadium
2025-04-02,12:40 PM EDT,Texas Rangers,Cincinnati Reds,Great American Ball Park
2025-04-02,01:10 PM EDT,Pittsburgh Pirates,Tampa Bay Rays,George M. Steinbrenner Field
2025-04-02,12:10 PM CDT,Kansas City Royals,Milwaukee Brewers,American Family Field
2025-04-02,12:15 PM CDT,Los Angeles Angels,St. Louis Cardinals,Busch Stadium
2025-04-02,01:10 PM CDT,Minnesota Twins,Chicago White Sox,Rate Field
2025-04-02,03:07 PM EDT,Washington Nationals,Toronto Blue Jays,Rogers Centre
2025-04-02,12:35 PM PDT,Chicago Cubs,Athletics,Sutter Health Park
2025-04-02,01:10 PM PDT,Cleveland Guardians,San Diego Padres,Petco Park
2025-04-02,01:10 PM PDT,Detroit Tigers,Seattle Mariners,T-Mobile Park
2025-04-02,03:10 PM CDT,San Francisco Giants,Houston Astros,Daikin Park
2025-04-02,04:40 PM EDT,New York Mets,Miami Marlins,loanDepot park
2025-04-02,06:35 PM EDT,Boston Red Sox,Baltimore Orioles,Oriole Park at Camden Yards
2025-04-02,06:45 PM EDT,Colorado Rockies,Philadelphia Phillies,Citizens Bank Park
2025-04-02,07:05 PM EDT,Arizona Diamondbacks,New York Yankees,Yankee Stadium
2025-04-02,05:38 PM PDT,Atlanta Braves,Los Angeles Dodgers,Dodger Stadium
2025-04-03,01:05 PM EDT,Boston Red Sox,Baltimore Orioles,Oriole Park at Camden Yards
2025-04-03,01:05 PM EDT,Colorado Rockies,Philadelphia Phillies,Citizens Bank Park
2025-04-03,03:10 PM CDT,Houston Astros,Minnesota Twins,Target Field
2025-04-03,07:05 PM EDT,Arizona Diamondbacks,New York Yankees,Yankee Stadium
2025-04-03,06:40 PM CDT,Cincinnati Reds,Milwaukee Brewers,American Family Field
2025-04-04,01:10 PM EDT,Chicago White Sox,Detroit Tigers,Comerica Park
2025-04-04,02:10 PM EDT,St. Louis Cardinals,Boston Red Sox,Fenway Park
2025-04-04,01:20 PM CDT,San Diego Padres,Chicago Cubs,Wrigley Field
2025-04-04,03:10 PM EDT,Toronto Blue Jays,New York Mets,Citi Field
2025-04-04,02:10 PM MDT,Athletics,Colorado Rockies,Coors Field
2025-04-04,04:12 PM EDT,New York Yankees,Pittsburgh Pirates,PNC Park
2025-04-04,01:35 PM PDT,Seattle Mariners,San Francisco Giants,Oracle Park
2025-04-04,06:45 PM EDT,Arizona Diamondbacks,Washington Nationals,Nationals Park
2025-04-04,06:45 PM EDT,Los Angeles Dodgers,Philadelphia Phillies,Citizens Bank Park
2025-04-04,07:15 PM EDT,Miami Marlins,Atlanta Braves,Truist Park
2025-04-04,06:40 PM CDT,Baltimore Orioles,Kansas City Royals,Kauffman Stadium
2025-04-04,07:05 PM CDT,Tampa Bay Rays,Texas Rangers,Globe Life Field
2025-04-04,07:10 PM CDT,Cincinnati Reds,Milwaukee Brewers,American Family Field
2025-04-04,06:38 PM PDT,Cleveland Guardians,Los Angeles Angels,Angel Stadium
2025-04-05,01:10 PM EDT,Chicago White Sox,Detroit Tigers,Comerica Park
2025-04-05,01:10 PM CDT,Houston Astros,Minnesota Twins,Target Field
2025-04-05,01:20 PM CDT,San Diego Padres,Chicago Cubs,Wrigley Field
2025-04-05,04:05 PM EDT,Arizona Diamondbacks,Washington Nationals,Nationals Park
2025-04-05,04:05 PM EDT,Los Angeles Dodgers,Philadelphia Phillies,Citizens Bank Park
2025-04-05,04:05 PM EDT,New York Yankees,Pittsburgh Pirates,PNC Park
2025-04-05,03:10 PM CDT,Baltimore Orioles,Kansas City Royals,Kauffman Stadium
2025-04-05,06:05 PM CDT,Tampa Bay Rays,Texas Rangers,Globe Life Field
2025-04-05,07:10 PM EDT,Toronto Blue Jays,New York Mets,Citi Field
2025-04-05,06:10 PM CDT,Cincinnati Reds,Milwaukee Brewers,American Family Field
2025-04-05,07:15 PM EDT,Miami Marlins,Atlanta Braves,Truist Park
2025-04-05,06:10 PM MDT,Athletics,Colorado Rockies,Coors Field
2025-04-05,06:05 PM PDT,Seattle Mariners,San Francisco Giants,Oracle Park
2025-04-05,06:38 PM PDT,Cleveland Guardians,Los Angeles Angels,Angel Stadium
2025-04-05,04:10 PM EDT,St. Louis Cardinals,Boston Red Sox,Fenway Park
2025-04-06,01:35 PM EDT,Arizona Diamondbacks,Washington Nationals,Nationals Park
2025-04-06,07:10 PM EDT,St. Louis Cardinals,Boston Red Sox,Fenway Park
2025-04-06,01:35 PM EDT,Los Angeles Dodgers,Philadelphia Phillies,Citizens Bank Park
2025-04-06,01:35 PM EDT,New York Yankees,Pittsburgh Pirates,PNC Park
2025-04-06,01:40 PM EDT,Toronto Blue Jays,New York Mets,Citi Field
2025-04-06,01:40 PM EDT,Chicago White Sox,Detroit Tigers,Comerica Park
2025-04-06,01:10 PM CDT,Baltimore Orioles,Kansas City Royals,Kauffman Stadium
2025-04-06,01:10 PM CDT,Houston Astros,Minnesota Twins,Target Field
2025-04-06,01:10 PM CDT,Cincinnati Reds,Milwaukee Brewers,American Family Field
2025-04-06,01:20 PM CDT,San Diego Padres,Chicago Cubs,Wrigley Field
2025-04-06,01:35 PM CDT,Tampa Bay Rays,Texas Rangers,Globe Life Field
2025-04-06,01:10 PM MDT,Athletics,Colorado Rockies,Coors Field
2025-04-06,01:05 PM PDT,Seattle Mariners,San Francisco Giants,Oracle Park
2025-04-06,01:07 PM PDT,Cleveland Guardians,Los Angeles Angels,Angel Stadium
2025-04-06,01:35 PM EDT,Miami Marlins,Atlanta Braves,Truist Park
2025-04-07,03:10 PM EDT,New York Yankees,Detroit Tigers,Comerica Park
2025-04-07,06:40 PM EDT,St. Louis Cardinals,Pittsburgh Pirates,PNC Park
2025-04-07,06:45 PM EDT,Los Angeles Dodgers,Washington Nationals,Nationals Park
2025-04-07,06:45 PM EDT,Toronto Blue Jays,Boston Red Sox,Fenway Park
2025-04-07,07:10 PM EDT,Miami Marlins,New York Mets,Citi Field
2025-04-07,06:40 PM CDT,Texas Rangers,Chicago Cubs,Wrigley Field
2025-04-07,06:40 PM CDT,Minnesota Twins,Kansas City Royals,Kauffman Stadium
2025-04-07,06:40 PM MST,Baltimore Orioles,Arizona Diamondbacks,Chase Field
2025-04-07,06:40 PM PDT,Houston Astros,Seattle Mariners,T-Mobile Park
2025-04-07,06:45 PM PDT,Cincinnati Reds,San Francisco Giants,Oracle Park
2025-04-07,07:05 PM PDT,San Diego Padres,Athletics,Sutter Health Park
2025-04-08,01:10 PM EDT,New York Yankees,Detroit Tigers,Comerica Park
2025-04-08,04:10 PM EDT,Chicago White Sox,Cleveland Guardians,Progressive Field
2025-04-08,04:10 PM EDT,Miami Marlins,New York Mets,Citi Field
2025-04-08,06:40 PM EDT,St. Louis Cardinals,Pittsburgh Pirates,PNC Park
2025-04-08,06:45 PM EDT,Los Angeles Dodgers,Washington Nationals,Nationals Park
2025-04-08,06:45 PM EDT,Toronto Blue Jays,Boston Red Sox,Fenway Park
2025-04-08,07:05 PM EDT,Los Angeles Angels,Tampa Bay Rays,George M. Steinbrenner Field
2025-04-08,07:15 PM EDT,Philadelphia Phillies,Atlanta Braves,Truist Park
2025-04-08,06:40 PM CDT,Texas Rangers,Chicago Cubs,Wrigley Field
2025-04-08,06:40 PM CDT,Minnesota Twins,Kansas City Royals,Kauffman Stadium
2025-04-08,06:40 PM MDT,Milwaukee Brewers,Colorado Rockies,Coors Field
